Band;Link
3 Doors Down;https://www.amalgama-lab.com/songs/3/3_doors_down/
3 Inches of Blood;https://www.amalgama-lab.com/songs/3/3_inches_of_blood/
3 Pill Morning;https://www.amalgama-lab.com/songs/3/3_pill_morning/
3+2 (Three Plus Two);https://www.amalgama-lab.com/songs/3/3_2/
30 Seconds To Mars;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/
303;https://www.amalgama-lab.com/songs/3/303/
311;https://www.amalgama-lab.com/songs/3/311/
360;https://www.amalgama-lab.com/songs/3/360/
38th Parallel;https://www.amalgama-lab.com/songs/3/38th_parallel/
3FOR3;https://www.amalgama-lab.com/songs/3/3for3/
3JS;https://www.amalgama-lab.com/songs/3/3js/
3LAU;https://www.amalgama-lab.com/songs/3/3lau/
3OH!3;https://www.amalgama-lab.com/songs/3/3oh3/
3rei Sud Est;https://www.amalgama-lab.com/songs/3/3rei_sud_est/
3T;https://www.amalgama-lab.com/songs/3/3t/
