Original text;Translated text
What If I wanted to break,;Что, если я вдруг сорвусь,
Laugh it all off in your face?;Прямо в лицо рассмеюсь?
What would you do?;Стерпишь ли ты?
;
What if I fell to the floor,;Что, если я упаду,
Couldn't take this anymore?;Чтобы не жить, как в аду?
What would you do, do, do?;Как стерпишь ты, ты, ты?
;
[Chorus:];[Припев:]
Come break me down,;Что же ты ждешь?
Bury me, bury me,;Бей меня, бей меня,
I am finished with you!;Я покончил с тобой!
;
What if I wanted to fight;Если под маской бойца
Beg for the rest of my life?;Я буду жить до конца?
What would you do, do, do?;Как стерпишь ты, ты, ты?
;
You say you wanted more,;Как много хочешь ты,
What are you waiting for?;Ждешь чего же ты?
I'm not running from you.;Я не бросил тебя.
;
[Chorus:];[Припев:]
Come break me down,;Что же ты ждешь?
Bury me, bury me,;Бей меня, бей меня,
I am finished with you!;Я покончил с тобой.
;
Look in my eyes,;Глядя в глаза,
You're killing me, killing me.;Убьешь меня, бьешь меня,
All I wanted was you!;Я хотел лишь тебя!
;
I tried to be someone else,;Пытался я быть другим,
But nothing seemed to change.;Осталось всё таким,
I know now this is who I really am inside.;Как было, только я узнал, кто я внутри.
Finally found myself,;Вдруг я себя нашел,
Finding for a chance.;Выпал шанс такой,
I know now this is who I really am!;Я знаю — я такой, какой я есть!
;
[Chorus:];[Припев:]
Come break me down,;Что же ты ждешь?
Bury me, bury me,;Бей меня, бей меня,
I am finished with you, you, you!;Я покончил с тобой, да, да!
;
Look in my eyes,;Глядя в глаза,
You're killing me, killing me.;Убьешь меня, бьешь меня,
All I wanted was you!;Я хотел лишь тебя!
;
Come break me down...;Что же ты ждешь?
Break me down...;Что ты ждешь?
Break me down...;Что ты ждешь?
;
What if I wanted to break?;Что, если я вдруг сорвусь?
;
;
;
The Kill;Убийство (перевод Александра)
;
What If I wanted to break;Что, если бы я решил сломаться,
Laugh it all off in your face;Расхохотавшись тебе в лицо,
What would you do;Что бы ты сделала тогда?
;
What if I fell to the floor;Что, если бы я упал наземь,
Couldn't take this anymore;Не в состоянии больше этого вынести,
What would you do, do, do;Что бы ты сделала тогда?
;
Come break me down;Ну давай же, сломай меня,
Bury me, bury me;Закопай, погреби,
I am finished with you;Ты не нужна мне больше!
;
What if I wanted to fight;Что, если бы я решил драться,
Beg for the rest of my life;Умолять до скончания жизни,
What would you do do do;Что бы ты сделала тогда?
;
You say you wanted more;Ты говоришь, что хотела большего,
What are you waiting for;Но я ещё жду
I'm not running from you;И не бегу от тебя.
;
Come break me down;Ну давай же, сломай меня,
Bury me, bury me;Закопай, погреби,
I am finished with you;Ты не нужна мне больше!
;
Look in my eyes;Посмотри мне в глаза!
You're killing me, killing me;Ты убиваешь, убиваешь меня.
All I wanted was you;Мне нужна была только ты!
;
I tried to be someone else;Я пытался быть кем-то другим,
But nothing seemed to change;Но, похоже, ничего не изменилось.
I know now this is who I really am inside;Теперь знаю: внутри я действительно таков.
Finally found myself;Наконец я нашел себя,
Finally found a chance;Наконец я нашел шанс,
I know now this is who I really am;Теперь я знаю, вот такой я на самом деле
;
Come break me down;Ну давай же, сломай меня,
Bury me, bury me;Закопай, погреби,
I am finished with you, you, you;Ты не нужна мне больше! (Ты, ты)
;
Look in my eyes;Посмотри мне в глаза!
You're killing me, killing me;Ты убиваешь, убиваешь меня.
All I wanted was you;Мне нужна была только ты!
;
Come break me down;Ну давай же, сломай меня,
Break me down;Сломай меня,
Break me down;Сломай меня.
;
What if I wanted to break.;Что, если бы я решил сломаться?
;
