Song;Link
100 Suns;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/100_suns.html
93 Million Miles;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/93_million_miles.html
A Beautiful Lie;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/a_beautiful_lie.html
A Modern Myth;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/a_modern_myth.html
Alibi;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/alibi.html
Anarchy in Tokyo;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/anarchy_in_tokyo.html
Attack;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/attack.html
Bad Romance;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/bad_romance.html
Battle of One;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/battle_of_one.html
Birth;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/birth.html
Bright Lights;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/bright_lights.html
Buddha for Mary;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/buddha_for_mary.html
Capricorn (A Brand New Name);https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/capricorn.html
City of Angels;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/city_of_angels.html
Closer to the Edge;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/closer_to_the_edge.html
Conquistador;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/conquistador.html
Dangerous Night;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/dangerous_night.html
Dawn Will Rise;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/dawn_will_rise.html
Depuis Le Debut;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/depuis_le_debut.html
Do or Die;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/do_or_die.html
Echelon;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/echelon.html
Edge of the Earth;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/edge_of_the_earth.html
End of All Days;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/end_of_all_days.html
End of the Beginning;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/end_of_the_beginning.html
Escape;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/escape.html
Fallen;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/fallen.html
From Yesterday;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/from_yesterday.html
Great Wide Open;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/great_wide_open.html
Hail to the Victor;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/hail_to_the_victor.html
Hunter;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/hunter.html
Hurricane;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/hurricane.html
Kings and Queens;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/kings_and_queens.html
Live Like a Dream;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/live_like_a_dream.html
Love Is Madness;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/love_is_madness.html
Message in a Bottle*;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/message_in_a_bottle.html
Night of the Hunter;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/night_of_the_hunter.html
Northern Lights;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/northern_lights.html
Oblivion;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/oblivion.html
Occam's Razor;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/occam_s_razor.html
One Track Mind;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/one_track_mind.html
Phase 1: Fortification;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/phase_1_fortification.html
Praying for a Riot;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/praying_for_a_riot.html
Remedy;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/remedy.html
Rescue Me;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/rescue_me.html
Revenge;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/revenge.html
Revolution;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/revolution.html
Revolve;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/revolve.html
Rider;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/rider.html
Santa Through the Back Door;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/santa_through_the_back_door.html
Savior;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/savior.html
Search and Destroy;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/search_and_destroy.html
Stay*;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/stay.html
Story;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/story.html
Stranger in a Strange Land;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/stranger_in_a_strange_land.html
Stronger*;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/stronger.html
The Believer;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_believer.html
The Fantasy;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_fantasy.html
The Kill;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_kill.html
The Mission;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_mission.html
The Race;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_race.html
The Struggle;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/the_struggle.html
This Is War;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/this_is_war.html
Under Pressure;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/under_pressure.html
Up in the Air;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/up_in_the_air.html
Valhalla;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/valhalla.html
Vox Populi;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/vox_populi.html
Walk on Water;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/walk_on_water.html
Was It a Dream;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/was_it_a_dream.html
Welcome to the Universe;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/welcome_to_the_universe.html
Where the Streets Have No Name;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/where_the_streets_have_no_name.html
Witness;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/witness.html
Year Zero;https://www.amalgama-lab.com/songs/3/30_seconds_to_mars/year_zero.html
